index,Duration (in seconds),Finished,Consent1,Consent2,Consent3,Demo_age,Demo_gender,Q1_ADD1,Timing1_ADD1_First Click,Timing1_ADD1_Last Click,Timing1_ADD1_Page Submit,Timing1_ADD1_Click Count,Q2_ADD1,Timing2_ADD1_First Click,Timing2_ADD1_Last Click,Timing2_ADD1_Page Submit,Timing2_ADD1_Click Count,Q1_ADD2,Timing1_ADD2_First Click,Timing1_ADD2_Last Click,Timing1_ADD2_Page Submit,Timing1_ADD2_Click Count,Q2_ADD2,Timing2_ADD2_First Click,Timing2_ADD2_Last Click,Timing2_ADD2_Page Submit,Timing2_ADD2_Click Count,Q1_ADD3,Timing1_ADD3_First Click,Timing1_ADD3_Last Click,Timing1_ADD3_Page Submit,Timing1_ADD3_Click Count,Q2_ADD3,Timing2_ADD3_First Click,Timing2_ADD3_Last Click,Timing2_ADD3_Page Submit,Timing2_ADD3_Click Count,Q1_ADD4,Timing1_ADD4_First Click,Timing1_ADD4_Last Click,Timing1_ADD4_Page Submit,Timing1_ADD4_Click Count,AttCheck1_ADD,Q2_ADD4,Timing2_ADD4_First Click,Timing2_ADD4_Last Click,Timing2_ADD4_Page Submit,Timing2_ADD4_Click Count,Q1_ADD5,Timing1_ADD5_First Click,Timing1_ADD5_Last Click,Timing1_ADD5_Page Submit,Timing1_ADD5_Click Count,Q2_ADD5,Timing2_ADD5_First Click,Timing2_ADD5_Last Click,Timing2_ADD5_Page Submit,Timing2_ADD5_Click Count,Q1_ADD6,Timing1_ADD6_First Click,Timing1_ADD6_Last Click,Timing1_ADD6_Page Submit,Timing1_ADD6_Click Count,Q2_ADD6,Timing2_ADD6_First Click,Timing2_ADD6_Last Click,Timing2_ADD6_Page Submit,Timing2_ADD6_Click Count,Q1_LMS1,Timing1_LMS1_First Click,Timing1_LMS1_Last Click,Timing1_LMS1_Page Submit,Timing1_LMS1_Click Count,Q2_LMS1,Timing2_LMS1_First Click,Timing2_LMS1_Last Click,Timing2_LMS1_Page Submit,Timing2_LMS1_Click Count,Q1_LMS2,Timing1_LMS2_First Click,Timing1_LMS2_Last Click,Timing1_LMS2_Page Submit,Timing1_LMS2_Click Count,Q2_LMS2,Timing2_LMS2_First Click,Timing2_LMS2_Last Click,Timing2_LMS2_Page Submit,Timing2_LMS2_Click Count,Q1_LMS3,Timing1_LMS3_First Click,Timing1_LMS3_Last Click,Timing1_LMS3_Page Submit,Timing1_LMS3_Click Count,Q2_LMS3,Timing2_LMS3_First Click,Timing2_LMS3_Last Click,Timing2_LMS3_Page Submit,Timing2_LMS3_Click Count,Q1_LMS4,Timing1_LMS4_First Click,Timing1_LMS4_Last Click,Timing1_LMS4_Page Submit,Timing1_LMS4_Click Count,AttCheck1_LMS,Q2_LMS4,Timing2_LMS4_First Click,Timing2_LMS4_Last Click,Timing2_LMS4_Page Submit,Timing2_LMS4_Click Count,Q1_LMS5,Timing1_LMS5_First Click,Timing1_LMS5_Last Click,Timing1_LMS5_Page Submit,Timing1_LMS5_Click Count,Q2_LMS5,Timing2_LMS5_First Click,Timing2_LMS5_Last Click,Timing2_LMS5_Page Submit,Timing2_LMS5_Click Count,Q1_LMS6,Timing1_LMS6_First Click,Timing1_LMS6_Last Click,Timing1_LMS6_Page Submit,Timing1_LMS6_Click Count,Q2_LMS6,Timing2_LMS6_First Click,Timing2_LMS6_Last Click,Timing2_LMS6_Page Submit,Timing2_LMS6_Click Count,Q1_APP1,Timing1_APP1_First Click,Timing1_APP1_Last Click,Timing1_APP1_Page Submit,Timing1_APP1_Click Count,Q2_APP1,Timing2_APP1_First Click,Timing2_APP1_Last Click,Timing2_APP1_Page Submit,Timing2_APP1_Click Count,Q1_APP2,Timing1_APP2_First Click,Timing1_APP2_Last Click,Timing1_APP2_Page Submit,Timing1_APP2_Click Count,Q2_APP2,Timing2_APP2_First Click,Timing2_APP2_Last Click,Timing2_APP2_Page Submit,Timing2_APP2_Click Count,Q1_APP3,Timing1_APP3_First Click,Timing1_APP3_Last Click,Timing1_APP3_Page Submit,Timing1_APP3_Click Count,Q2_APP3,Timing2_APP3_First Click,Timing2_APP3_Last Click,Timing2_APP3_Page Submit,Timing2_APP3_Click Count,Q1_APP4,Timing1_APP4_First Click,Timing1_APP4_Last Click,Timing1_APP4_Page Submit,Timing1_APP4_Click Count,AttCheck1_APP,Q2_APP4,Timing2_APP4_First Click,Timing2_APP4_Last Click,Timing2_APP4_Page Submit,Timing2_APP4_Click Count,Q1_APP5,Timing1_APP5_First Click,Timing1_APP5_Last Click,Timing1_APP5_Page Submit,Timing1_APP5_Click Count,Q2_APP5,Timing2_APP5_First Click,Timing2_APP5_Last Click,Timing2_APP5_Page Submit,Timing2_APP5_Click Count,Q1_APP6,Timing1_APP6_First Click,Timing1_APP6_Last Click,Timing1_APP6_Page Submit,Timing1_APP6_Click Count,Q2_APP6,Timing2_APP6_First Click,Timing2_APP6_Last Click,Timing2_APP6_Page Submit,Timing2_APP6_Click Count,subj_preobj_Q1,subj_preobj_Q2,Timing_subj_preobj_First Click,Timing_subj_preobj_Last Click,Timing_subj_preobj_Page Submit,Timing_subj_preobj_Click Count,modsim_ADD7,Timing_ADD7_First Click,Timing_ADD7_Last Click,Timing_ADD7_Page Submit,Timing_ADD7_Click Count,modsim_ADD8,Timing_ADD8_First Click,Timing_ADD8_Last Click,Timing_ADD8_Page Submit,Timing_ADD8_Click Count,countfac_ADD9,AttCheck2_ADD,Timing_ADD9_First Click,Timing_ADD9_Last Click,Timing_ADD9_Page Submit,Timing_ADD9_Click Count,countfac_ADD10,Timing_ADD10_First Click,Timing_ADD10_Last Click,Timing_ADD10_Page Submit,Timing_ADD10_Click Count,error_ADD11,Timing_ADD11_First Click,Timing_ADD11_Last Click,Timing_ADD11_Page Submit,Timing_ADD11_Click Count,error_ADD12,Timing_ADD12_First Click,Timing_ADD12_Last Click,Timing_ADD12_Page Submit,Timing_ADD12_Click Count,modsim_LMS7,Timing_LMS7_First Click,Timing_LMS7_Last Click,Timing_LMS7_Page Submit,Timing_LMS7_Click Count,modsim_LMS8,Timing_LMS8_First Click,Timing_LMS8_Last Click,Timing_LMS8_Page Submit,Timing_LMS8_Click Count,countfac_LMS9,AttCheck2_LMS,Timing_LMS9_First Click,Timing_LMS9_Last Click,Timing_LMS9_Page Submit,Timing_LMS9_Click Count,countfac_LMS10,Timing_LMS10_First Click,Timing_LMS10_Last Click,Timing_LMS10_Page Submit,Timing_LMS10_Click Count,error_LMS11,Timing_LMS11_First Click,Timing_LMS11_Last Click,Timing_LMS11_Page Submit,Timing_LMS11_Click Count,error_LMS12,Timing_LMS12_First Click,Timing_LMS12_Last Click,Timing_LMS12_Page Submit,Timing_LMS12_Click Count,modsim_APP7,Timing_APP7_First Click,Timing_APP7_Last Click,Timing_APP7_Page Submit,Timing_APP7_Click Count,modsim_APP8,Timing_APP8_First Click,Timing_APP8_Last Click,Timing_APP8_Page Submit,Timing_APP8_Click Count,countfac_APP9,AttCheck2_APP,Timing_APP9_First Click,Timing_APP9_Last Click,Timing_APP9_Page Submit,Timing_APP9_Click Count,countfac_APP10,Timing_APP10_First Click,Timing_APP10_Last Click,Timing_APP10_Page Submit,Timing_APP10_Click Count,error_APP11,Timing_APP11_First Click,Timing_APP11_Last Click,Timing_APP11_Page Submit,Timing_APP11_Click Count,error_APP12,Timing_APP12_First Click,Timing_APP12_Last Click,Timing_APP12_Page Submit,Timing_APP12_Click Count,Subj_postobj_Q1,Subj_postobj_Q2,Timing_subj_postobj_First Click,Timing_subj_postobj_Last Click,Timing_subj_postobj_Page Submit,Timing_subj_postobj_Click Count,timing_explain_ADD_First Click,timing_explain_ADD_Last Click,timing_explain_ADD_Page Submit,timing_explain_ADD_Click Count,timing_explain_LMS_First Click,timing_explain_LMS_Last Click,timing_explain_LMS_Page Submit,timing_explain_LMS_Click Count,timing_explain_APP_First Click,timing_explain_APP_Last Click,timing_explain_APP_Page Submit,timing_explain_APP_Click Count,Agg,Exp
75,1041,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.105,91.498,93.976,3.0,3.0,1.954,14.068,15.467,2.0,7.0,1.355,45.164,47.364,5.0,3.0,14.596,15.626,17.737,2.0,1.0,1.783,71.147,74.003,3.0,1.0,1.537,8.44,10.903,3.0,2.0,1.39,40.83,42.903,3.0,4.0,2.0,1.33,16.379,19.571,4.0,7.0,1.364,31.374,34.178,3.0,7.0,1.222,7.697,8.871,2.0,3.0,1.817,61.98,64.243,3.0,3.0,7.341,8.739,11.301,2.0,5,5,6.179,11.121,12.288,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.232,59.155,61.521,8.0,6.0,28.831,31.657,32.856,2.0,1.0,2.0,1.284,96.682,98.523,8.0,1.0,0.958,63.706,66.168,3.0,2.0,1.144,47.408,49.29,3.0,2.0,1.321,27.339,29.5,4.0,3,3,2.951,9.16,11.235,3,,,,,,,,,1.611,114.578,121.084,5.0,APP,Graph_expl
76,1310,1,1,1,1,2,2,1.0,7.835,103.803,115.001,6.0,1.0,57.247,57.247,57.883,1.0,1.0,93.489,93.489,94.981,1.0,5.0,17.361,17.361,18.374,1.0,4.0,34.342,34.342,35.771,1.0,5.0,10.741,10.741,14.361,1.0,7.0,34.631,34.631,36.523,1.0,4.0,7.0,1.751,34.087,38.189,4.0,1.0,33.561,33.561,34.318,1.0,1.0,3.853,3.853,5.033,1.0,2.0,39.773,39.773,41.961,1.0,2.0,3.413,3.413,5.217,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,5.968,12.32,14.013,3,3.0,88.18,89.821,91.777,2.0,1.0,68.414,68.414,72.685,1.0,4.0,2.0,133.93,171.761,176.413,2.0,1.0,13.116,13.116,17.833,1.0,1.0,27.079,27.079,28.212,1.0,2.0,20.796,20.796,23.824,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3.39,5.567,8.107,2,25.549,25.549,98.457,1.0,,,,,,,,,ADD,Text_expl
77,1322,1,1,1,1,2,1,4.0,55.867,55.867,57.094,1.0,1.0,58.708,58.708,61.4,1.0,5.0,34.641,34.641,36.028,1.0,5.0,5.394,5.394,7.386,1.0,5.0,38.768,38.768,40.642,1.0,5.0,2.249,2.249,4.121,1.0,3.0,23.944,39.241,40.687,3.0,4.0,7.0,8.108,22.507,27.033,4.0,1.0,17.249,17.249,19.951,1.0,1.0,3.36,3.36,4.645,1.0,2.0,78.17,78.17,80.151,1.0,2.0,7.268,7.268,8.763,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6.097,11.455,14.343,2,3.0,144.547,144.547,145.771,1.0,1.0,70.522,70.522,73.073,1.0,2.0,2.0,66.562,283.86,315.728,3.0,3.0,32.707,32.707,72.623,1.0,1.0,103.059,103.059,104.882,1.0,2.0,73.379,73.379,75.117,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,4.573,6.51,8.163,2,21.834,22.587,66.319,2.0,,,,,,,,,ADD,No_expl
78,1252,1,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,189.534,192.493,195.611,2.0,3.0,16.974,38.83,41.302,3.0,7.0,35.164,35.164,37.604,1.0,3.0,9.869,9.869,12.702,1.0,1.0,27.071,27.071,29.056,1.0,1.0,7.691,7.691,9.601,1.0,6.0,40.444,40.444,43.402,1.0,4.0,3.0,9.665,22.272,25.658,2.0,7.0,24.907,24.907,26.704,1.0,7.0,4.896,4.896,7.103,1.0,1.0,22.44,22.44,25.041,1.0,1.0,5.907,5.907,7.656,1.0,5,4,6.122,12.192,14.496,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,55.727,55.727,57.204,1.0,6.0,38.596,38.596,40.703,1.0,4.0,2.0,116.644,130.914,132.105,3.0,3.0,10.198,10.198,11.868,1.0,1.0,56.426,56.426,59.002,1.0,2.0,34.589,34.589,36.905,1.0,6,6,5.838,12.271,13.975,4,,,,,,,,,15.613,15.613,92.855,1.0,APP,Text_expl
79,1073,1,1,1,1,2,2,6.0,95.835,97.141,97.563,2.0,3.0,68.896,69.244,70.214,2.0,5.0,30.886,30.886,32.466,1.0,1.0,59.393,59.393,60.427,1.0,5.0,14.277,14.277,17.617,1.0,5.0,2.426,5.096,9.198,2.0,4.0,30.945,30.945,31.888,1.0,4.0,4.0,12.599,64.453,65.421,2.0,1.0,19.123,19.123,20.214,1.0,1.0,12.394,12.394,14.116,1.0,2.0,12.662,12.662,13.542,1.0,2.0,5.168,5.168,6.34,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,2.891,8.293,9.582,5,3.0,19.609,19.609,20.4,1.0,3.0,29.923,29.923,30.911,1.0,3.0,2.0,63.986,80.515,85.023,2.0,3.0,42.435,42.435,47.62,1.0,1.0,34.013,34.013,34.959,1.0,2.0,20.288,20.288,21.407,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,2.463,3.247,5.55,2,18.877,18.877,79.201,1.0,,,,,,,,,ADD,Text_expl
80,1049,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,99.788,99.788,102.517,1.0,3.0,14.109,14.109,15.478,1.0,7.0,43.265,43.265,111.479,1.0,7.0,13.413,13.413,15.077,1.0,1.0,27.437,27.437,59.879,1.0,1.0,4.262,4.262,5.375,1.0,6.0,20.88,21.884,58.09,2.0,4.0,6.0,21.766,27.247,31.72,2.0,7.0,15.208,15.208,33.051,1.0,7.0,3.786,3.786,5.354,1.0,3.0,22.696,39.214,47.778,2.0,3.0,2.693,2.693,5.444,1.0,6,6,6.624,10.204,11.625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,19.152,19.845,43.001,2.0,6.0,20.753,20.753,30.325,1.0,2.0,2.0,60.689,91.185,92.752,2.0,4.0,45.972,45.972,47.619,1.0,1.0,35.144,35.144,36.382,1.0,2.0,34.172,34.172,54.384,1.0,6,6,4.068,5.061,7.903,2,,,,,,,,,45.28,45.28,81.702,1.0,APP,Text_expl
81,1305,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.094,123.109,125.543,8.0,3.0,2.854,17.474,18.602,4.0,3.0,21.473,139.13,140.495,4.0,3.0,4.198,38.065,39.2,6.0,1.0,6.869,71.121,71.845,6.0,1.0,3.867,14.486,15.426,7.0,6.0,11.445,78.497,79.722,4.0,4.0,3.0,4.576,49.66,52.897,7.0,7.0,8.764,90.758,91.905,3.0,7.0,3.687,5.643,6.328,3.0,3.0,3.526,59.184,60.147,4.0,3.0,3.158,6.241,7.329,3.0,6,5,15.287,24.054,24.942,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,12.951,36.49,37.072,4.0,6.0,5.336,29.124,30.147,5.0,2.0,2.0,12.098,90.17,92.692,6.0,4.0,20.301,23.184,24.235,3.0,2.0,6.863,31.581,32.513,4.0,2.0,7.039,26.884,27.888,3.0,6,6,3.416,6.324,7.374,3,,,,,,,,,3.019,109.625,111.377,7.0,APP,Text_expl
82,951,1,1,1,1,1,2,1.0,135.583,135.583,137.423,1.0,1.0,22.279,22.279,23.93,1.0,5.0,67.43,68.006,69.074,2.0,5.0,3.435,3.435,5.057,1.0,4.0,32.955,32.955,34.559,1.0,4.0,6.902,6.902,8.421,1.0,7.0,35.487,35.487,36.614,1.0,4.0,7.0,4.684,21.291,24.565,3.0,1.0,27.076,27.076,28.211,1.0,1.0,3.929,3.929,6.691,1.0,2.0,27.974,27.974,30.017,1.0,2.0,6.337,6.337,10.234,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,5.565,9.524,10.529,2,3.0,59.622,59.622,60.719,1.0,1.0,28.788,28.788,31.819,1.0,4.0,2.0,48.249,93.347,105.057,2.0,2.0,4.113,4.113,5.247,1.0,1.0,25.152,25.152,27.714,1.0,2.0,13.415,13.415,14.675,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7.161,11.981,14.228,2,35.679,35.679,71.361,1.0,,,,,,,,,ADD,Text_expl
83,332,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.138,47.222,48.261,4.0,2.0,16.546,18.657,19.224,3.0,5.0,3.613,4.52,5.733,2.0,1.0,3.996,9.945,10.706,5.0,5.0,2.835,6.667,7.444,4.0,3.0,1.54,3.283,4.849,3.0,1.0,1.426,4.261,5.287,3.0,4.0,2.0,2.22,18.434,19.465,8.0,5.0,2.568,3.739,4.831,2.0,7.0,2.417,4.818,7.251,3.0,3.0,1.89,4.106,5.025,3.0,4.0,1.748,2.887,3.622,2.0,3,2,2.852,5.849,6.66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.429,5.765,6.56,3.0,2.0,7.582,10.166,10.738,3.0,3.0,2.0,4.181,25.982,26.504,7.0,1.0,1.834,9.002,9.674,4.0,1.0,1.765,6.86,8.127,2.0,1.0,1.626,3.405,5.455,2.0,1,1,1.882,6.332,7.616,5,,,,,,,,,20.723,21.455,47.33,2.0,APP,Text_expl
84,1226,1,1,1,1,2,1,1.0,167.884,167.884,169.779,1.0,3.0,27.834,27.834,29.891,1.0,5.0,72.163,72.163,73.911,1.0,4.0,20.683,20.683,23.289,1.0,5.0,125.097,125.097,126.65,1.0,4.0,17.942,17.942,19.027,1.0,4.0,30.504,30.504,35.949,1.0,4.0,4.0,6.14,34.214,36.858,2.0,1.0,27.364,27.364,28.783,1.0,5.0,12.664,18.677,23.071,2.0,2.0,2.926,27.102,29.267,5.0,4.0,14.809,14.809,16.199,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4.357,7.894,9.703,3,3.0,23.946,23.946,25.842,1.0,5.0,21.472,21.472,22.815,1.0,2.0,2.0,193.195,204.404,207.088,2.0,3.0,15.094,15.094,22.471,1.0,1.0,26.891,27.613,28.662,2.0,2.0,20.383,20.383,21.617,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2.207,3.915,5.364,2,28.802,81.445,89.258,6.0,,,,,,,,,ADD,Text_expl
85,1370,1,1,1,1,1,2,3.0,9.097,158.984,159.582,4.0,3.0,28.53,28.53,30.607,1.0,4.0,73.987,73.987,75.47,1.0,4.0,6.385,6.385,8.035,1.0,5.0,60.572,60.572,61.436,1.0,5.0,1.707,1.707,8.038,1.0,7.0,53.999,53.999,55.099,1.0,4.0,7.0,7.318,17.001,19.837,2.0,1.0,22.682,22.682,23.674,1.0,1.0,1.636,1.636,4.547,1.0,2.0,41.155,42.375,43.217,2.0,2.0,3.438,9.301,9.808,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7.142,10.807,11.984,2,6.0,66.759,66.759,70.058,1.0,1.0,37.692,37.692,38.703,1.0,3.0,2.0,53.037,60.502,63.512,2.0,2.0,166.393,166.393,167.92,1.0,2.0,19.015,52.926,54.317,2.0,1.0,32.227,35.45,36.277,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5.191,7.68,9.868,2,98.215,98.215,177.024,1.0,,,,,,,,,ADD,No_expl
86,1187,1,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,97.767,98.686,99.477,2.0,3.0,10.193,10.193,10.858,1.0,7.0,102.929,103.464,103.604,2.0,7.0,52.44,52.44,53.201,1.0,4.0,147.425,147.425,147.948,1.0,1.0,18.767,18.767,19.543,1.0,6.0,27.903,27.903,28.404,1.0,4.0,6.0,10.863,19.112,20.149,3.0,2.0,48.4,48.4,48.972,1.0,2.0,6.138,6.138,6.854,1.0,3.0,48.335,48.335,49.422,1.0,3.0,3.636,3.636,4.296,1.0,7,7,1.978,4.195,4.763,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,38.625,54.85,64.051,3.0,6.0,48.886,48.886,49.401,1.0,4.0,2.0,128.913,158.573,160.797,2.0,4.0,60.364,60.364,62.04,1.0,2.0,46.191,46.191,46.683,1.0,2.0,18.508,18.508,21.094,1.0,3,2,3.97,6.575,7.344,3,,,,,,,,,45.9,45.9,71.408,1.0,APP,Graph_expl
87,1230,1,1,1,1,2,1,1.0,127.924,131.724,135.822,2.0,1.0,29.201,32.021,51.885,2.0,5.0,58.467,60.253,63.113,2.0,5.0,10.335,11.103,14.603,2.0,5.0,26.232,27.701,30.451,2.0,5.0,6.524,7.413,10.279,2.0,7.0,32.365,33.097,35.556,2.0,4.0,7.0,1.413,23.208,24.931,7.0,1.0,3.072,39.641,42.426,4.0,1.0,6.753,12.078,14.984,3.0,2.0,1.558,42.286,45.284,5.0,2.0,1.668,6.564,11.578,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,9.145,15.866,16.932,3,7.0,6.516,143.727,154.823,7.0,1.0,1.35,60.451,62.679,4.0,3.0,2.0,79.532,153.741,156.026,8.0,2.0,2.946,17.521,19.954,3.0,1.0,3.302,34.031,35.727,4.0,2.0,17.438,18.195,20.46,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,4.04,9.171,10.49,4,3.126,120.448,124.006,10.0,,,,,,,,,ADD,Text_expl
88,1496,1,1,1,1,2,1,1.0,149.302,152.516,154.362,2.0,1.0,16.909,16.909,18.58,1.0,5.0,77.79,85.485,87.931,5.0,5.0,26.333,27.664,29.899,2.0,5.0,40.995,44.343,46.245,2.0,5.0,8.03,8.03,10.204,1.0,7.0,1.183,88.397,89.7,3.0,4.0,7.0,1.393,28.6,30.119,4.0,1.0,54.525,58.472,59.962,2.0,1.0,13.155,14.617,16.165,2.0,2.0,91.637,94.919,96.778,2.0,2.0,6.834,6.834,9.473,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,4.727,9.538,11.876,3,3.0,126.326,131.171,132.808,2.0,1.0,89.626,92.303,93.576,2.0,3.0,2.0,113.17,119.763,122.003,3.0,3.0,71.756,71.756,73.054,1.0,1.0,65.123,65.123,66.55,1.0,2.0,25.686,27.567,30.575,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,9.676,13.834,15.176,3,67.932,67.932,99.473,1.0,,,,,,,,,ADD,Text_expl
89,1407,1,1,1,1,2,2,1.0,95.385,95.385,122.603,1.0,3.0,19.613,75.05,76.72,3.0,5.0,88.733,88.733,90.186,1.0,7.0,75.826,77.277,78.478,2.0,5.0,47.904,47.904,49.04,1.0,4.0,2.232,2.232,5.546,1.0,7.0,33.929,33.929,35.832,1.0,4.0,3.0,6.519,31.852,34.072,3.0,1.0,40.991,40.991,46.263,1.0,2.0,6.403,6.403,8.022,1.0,2.0,64.239,64.239,66.911,1.0,3.0,7.679,7.679,9.149,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,8.361,12.53,14.613,2,6.0,63.274,63.274,64.901,1.0,1.0,34.639,34.639,35.773,1.0,2.0,2.0,221.476,238.811,240.531,2.0,3.0,10.236,10.236,11.439,1.0,2.0,44.03,44.03,45.575,1.0,2.0,35.912,37.656,38.342,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,3.825,6.129,7.996,2,33.177,124.866,125.456,3.0,,,,,,,,,ADD,Text_expl
